NOM_ENT,NOM_MUN,INGRESO_HOGAR_TRI,GASTO_MUN_TRI,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Hidalgo,San Salvador,240507.887,13671.3905,1.954907079,1.735603402,2.781142018,2.540000124,1.893939316
Hidalgo,Santiago de Anaya,193011.4853,10971.5129,2.245239115,1.896398852,1.67952052,2.788703432,2.130290699
Hidalgo,Santiago Tulantepec de Lugo Guerrero,217212.2855,12347.17918,1.99356674,1.754670479,6.249972457,2.372929565,1.961951374
Hidalgo,Singuilucan,154675.3005,8792.337165,2.248044395,2.013236678,2.630375781,2.636380498,2.226636021
Hidalgo,Tasquillo,185935.3566,10569.27862,2.385303764,2.048772247,1.315407813,2.830782234,2.291686141
Hidalgo,Tecozautla,131422.6266,7470.566019,2.220896654,1.866790648,1.056038938,2.767185269,2.06584897
Hidalgo,Tenango de Doria,150342.3947,8546.038186,2.078229326,1.72918978,1.100139514,2.728362778,1.998055488
Hidalgo,Tepeapulco,250136.6998,14218.72913,1.905854683,1.639103238,12.32249093,2.36880358,1.949695666
Hidalgo,Tepehuacán de Guerrero,79702.18921,4530.578044,2.722945508,2.197113408,0.905087827,3.625782049,2.684002572
Hidalgo,Tepeji del Río de Ocampo,179617.2951,10210.13577,2.01820141,1.618795766,9.587280039,2.56377558,2.041441865
Hidalgo,Tepetitlán,171898.7982,9771.386817,2.027075573,1.787287446,2.629397743,2.491579811,1.968526893
Hidalgo,Tetepango,204589.2677,11629.63845,1.921065426,1.817364103,6.83319505,2.466166429,1.948720157
Hidalgo,Villa de Tezontepec,179299.7219,10192.08369,2.168759057,1.905716523,3.913115685,2.431346444,2.114963794
Hidalgo,Tezontepec de Aldama,203686.2478,11578.30734,1.950722286,1.842276579,6.20668402,2.535084783,1.968961784
Hidalgo,Tianguistengo,130584.5771,7422.928072,2.734120896,2.046950497,0.771147006,3.418223137,2.661949202
Hidalgo,Tizayuca,218569.0416,12424.3024,2.044091422,1.718417922,10.86005235,2.500432716,2.084903393
Hidalgo,Tlahuelilpan,198139.3099,11262.99812,1.919758996,1.722607163,5.514672123,2.375730467,1.908184475
Hidalgo,Tlahuiltepa,68498.18072,3893.69924,1.943906938,1.788839094,0.543638393,2.648771022,1.939618074
Hidalgo,Tlanalapa,246614.9049,14018.53681,2.018610851,1.778243833,11.46108165,2.616979167,2.057464468
Hidalgo,Tlanchinol,125623.8018,7140.938585,2.81956451,2.099507513,0.544970448,3.54111582,2.790352253
Hidalgo,Tlaxcoapan,233245.1963,13258.55131,1.977950058,1.791363524,7.884655361,2.506267708,1.990889788
Hidalgo,Tolcayuca,200364.6352,11389.49414,1.92734427,1.713039413,6.328072514,2.452430178,1.946877231
Hidalgo,Tula de Allende,222347.774,12639.10004,1.88873166,1.627696588,5.894589593,2.420518671,1.885405936
Hidalgo,Tulancingo de Bravo,228112.3966,12966.7833,2.049127937,1.836167992,5.976542936,2.419199031,2.027061455
Hidalgo,Xochiatipan,90292.79316,5132.58858,2.984046379,2.619806683,0.259257564,3.907035896,3.081199183
Hidalgo,Xochicoatlán,164210.7929,9334.371114,2.179539601,1.680465848,2.857984764,2.768342391,2.064167975
Hidalgo,Yahualica,111516.1826,6339.007413,2.79277464,2.318909682,0.578836111,3.425699429,2.789755732
Hidalgo,Zacualtipán de Ángeles,214628.1684,12200.28806,2.281528832,1.96045144,4.98753109,2.580320659,2.235991242
Hidalgo,Zapotlán de Juárez,215647.6763,12258.2408,2.056271992,1.777648982,7.624808135,2.438350828,2.052941838
Hidalgo,Zempoala,259743.6597,14764.82557,2.111865151,1.795747659,7.371578097,2.450810452,2.082597733
Hidalgo,Zimapán,211666.0448,12031.9096,2.037226722,1.788069422,4.226847466,2.450647144,1.986978234
Jalisco,Acatic,404676.745,21086.94346,1.99123465,1.820021628,4.222666182,2.429695929,2.043294955
Jalisco,Acatlán de Juárez,565691.5026,29477.1194,1.940594536,1.759144534,11.96959899,2.382017154,2.112180973
Jalisco,Ahualulco de Mercado,682418.8452,35559.56151,1.759880081,1.607111551,8.847706912,2.287470663,1.776709119
Jalisco,Amacueca,418888.6554,21827.49936,1.917812077,1.638136619,1.640692641,2.573675497,1.811643836
Jalisco,Amatitán,681566.0882,35515.12595,1.912214519,1.804083339,8.170424142,2.276552086,1.954530801
Jalisco,Ameca,626831.2633,32662.99725,2.074540583,1.807185663,6.123737073,2.552237703,2.02419718
Jalisco,San Juanito de Escobedo,643546.7971,33534.01225,1.633793126,1.408261994,5.440159003,2.32034632,1.58509955
Jalisco,Arandas,543016.9678,28295.59207,2.053359676,1.969828944,5.549351368,2.442800758,2.132335084
Jalisco,El Arenal,647989.1571,33765.49527,1.763959375,1.656867991,9.622307681,2.315947364,1.861203607
Jalisco,Atemajac de Brizuela,351273.73,18304.21287,2.347102683,1.834150855,1.512709644,2.820833333,2.281706777
Jalisco,Atengo,386024.4547,20115.00772,2.374921025,1.874390777,0.522226373,2.747038328,2.17508489
Jalisco,Atenguillo,432054.1573,22513.52888,1.639269882,1.470847524,0.187531172,2.432675045,1.513865308
Jalisco,Atotonilco el Alto,510312.4631,26591.4219,1.890291356,1.737406332,6.643574488,2.353238383,1.929517691
Jalisco,Atoyac,428275.113,22316.61,1.969054828,1.650833931,1.878293003,2.520119225,1.848454349
Jalisco,Autlán de Navarro,819146.8949,42684.20282,2.06372086,1.797925605,6.933425809,2.465014157,2.062045602
Jalisco,Ayotlán,349635.0853,18218.82618,2.274572901,2.100514388,2.579499517,2.58166786,2.277762865
Jalisco,Ayutla,402736.1966,20985.82514,2.193675626,1.862060861,2.02445722,2.511662614,2.073647428
Jalisco,La Barca,479423.8585,24981.87485,1.95505953,1.734475109,6.969601812,2.415710244,1.959886226
Jalisco,Bolaños,416288.444,21692.00724,3.210179427,2.099242814,1.543072289,3.678150499,2.970482649
Jalisco,Cabo Corrientes,285179.4397,14860.16381,2.412774114,2.092862868,3.841086307,2.830688234,2.376108012
Jalisco,Casimiro Castillo,406107.3581,21161.49002,2.036857709,1.724413475,6.54719462,2.504896529,1.992658288
Jalisco,Cihuatlán,480405.8171,25033.04287,2.123753445,1.860526895,5.204597073,2.60508594,2.12277978
Jalisco,Zapotlán el Grande,1117302.835,58220.54765,1.97972787,1.759945667,10.16981313,2.356033098,2.080169771
Jalisco,Cocula,516303.7584,26903.61702,1.842809097,1.685359774,6.149901604,2.408365375,1.867938698
Jalisco,Colotlán,1373613.594,71576.41885,1.797243492,1.681095159,4.015267492,2.283768808,1.771469495
