NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chiapas,Villa Comaltitlán,3.1305122957,2.6982228596,0.8376454043,3.3847431829,3.0707775678
Chiapas,Pueblo Nuevo Solistahuacán,2.8930315977,2.0211988121,0.6137876309,3.4552796738,2.8718020698
Chiapas,Rayón,2.6745537767,2.025027987,2.4708269779,3.1688280023,2.6794329098
Chiapas,Reforma,2.9387895374,2.3666005005,2.5096819585,3.3652762591,2.9111468106
Chiapas,Las Rosas,2.7719683331,2.1363139497,1.8810583379,3.2823357829,2.7851158912
Chiapas,Sabanilla,2.5181083302,2.1828673552,0.205058593,3.3861611803,2.6869353488
Chiapas,Salto de Agua,2.8522715474,2.5298221034,0.2516064762,3.5781138847,2.9085033599
Chiapas,San Cristóbal de las Casas,2.7025647206,1.8111207914,4.0518396956,2.8654429712,2.5852842062
Chiapas,San Fernando,2.6668592472,2.0692686274,1.7309449684,2.8990435685,2.5617193353
Chiapas,Siltepec,1.8483152163,1.6482509127,1.8457950244,2.6211982976,1.8595039739
Chiapas,Simojovel,3.1992760836,2.2386569128,0.4071555996,3.6987452524,3.2270566696
Chiapas,Sitalá,3.4633915275,2.325087715,0.2221858853,4.2975043242,3.4901988044
Chiapas,Socoltenango,2.6155510184,2.2002678033,3.0064079761,3.2551785387,2.6804095388
Chiapas,Solosuchiapa,2.6297848069,1.9395513419,0.4702876159,3.2217054264,2.5082606999
Chiapas,Soyaló,2.647116288,2.0355193441,1.9984447598,3.0906591096,2.6642215359
Chiapas,Suchiapa,2.9175481688,2.1537247568,1.8347363172,3.2376656601,2.8458798182
Chiapas,Suchiate,3.1008652156,2.7101360176,1.992160361,3.6449535757,3.146469575
Chiapas,Sunuapa,2.8120909053,2.3270482416,0.4798598949,3.2800608828,2.7132936508
Chiapas,Tapachula,2.8330001924,2.1353170867,5.8711900807,3.0918802924,2.8994868738
Chiapas,Tapalapa,2.7130186847,2.0421575323,0.7369136642,3.3693121693,2.6424829754
Chiapas,Tapilula,2.5112468922,2.0546022855,1.2428159021,2.8896150017,2.446963843
Chiapas,Tecpatán,2.9597197522,2.5264159645,0.5348462191,3.2647413063,2.9489019518
Chiapas,Tenejapa,2.7186186718,2.3975994688,1.157518552,3.7876494627,2.9326409169
Chiapas,Teopisca,2.6618133297,2.0368771191,0.8629955575,3.1630525023,2.66606818
Chiapas,Tila,2.9570179108,2.6297132467,0.0850676717,3.782876687,3.0423588409
Chiapas,Tonalá,2.6997434169,2.0653040818,4.9946038715,3.0828322255,2.6905024545
Chiapas,Totolapa,2.9186178334,2.4285464592,0.4738234475,3.6688206785,2.9725623934
Chiapas,La Trinitaria,2.6084975104,2.0725180488,1.4629171807,3.2799669502,2.621285953
Chiapas,Tumbalá,2.807720448,2.2668244799,1.2168983957,3.800499853,2.9746509555
Chiapas,Tuxtla Gutiérrez,2.4014888444,1.7828816504,7.1598093577,2.5335078494,2.3289165613
Chiapas,Tuxtla Chico,2.9266859621,2.2939500227,1.8190164869,3.3193398726,2.9776372716
Chiapas,Tuzantán,3.0007397508,2.4142999449,1.2723239679,3.2738010551,3.008935788
